Emnekode	Emnenavn	Sted
IELET2104	Automatiseringsprosjekt	Trondheim
PG8503	Automatisert boring	Trondheim
BI8081	Avansert Bevaringsbiologi	Trondheim
BA8404	Avansert CFD for marin- og kysttekniske applikasjoner	Trondheim
IDG1293	Avansert CSS	Gjøvik
MT8220	Avansert Fysikalsk Metallurgi	Trondheim
TN302921	Avansert Kystnavigasjon	Ålesund
RAT3112	Avansert MR-fysikk	Trondheim
KJ8205	Avansert Molekylmodellering	Trondheim
KLH3307	Avansert audiologisk rehabilitering	Trondheim
KLH3306	Avansert audiologisk vurdering	Trondheim
BI3082	Avansert bevaringsbiologi	Trondheim
FY8502	Avansert biofysikk	Trondheim
BI8091	Avansert biologi	Trondheim
KT8214	Avansert bruksgrensetilstandsdimensjonering av betongkonstruksjoner	Trondheim
DT8123	Avansert databehandling	Trondheim
FY8504	Avansert eksperimentell fysikk	Trondheim
TTM4536	Avansert etisk hacking - Informasjonssikkerhet, fordypningsemne	Gjøvik, Trondheim
BI8083	Avansert evolusjonær biologi	Trondheim
FARM3004	Avansert farmasøytisk kjemi	Trondheim
BI3020	Avansert fysiologi	Trondheim
TK8109	Avansert gaiding, navigasjon og bevegelsestyring	Trondheim
TPK4171	Avansert industriell robotteknikk	Trondheim
TBA4222	Avansert jernbaneteknikk(Kun eksamen, undervises ikke)	Trondheim
SYA3020	Avansert klinisk allmennsykepleie	Ålesund
SYG3020	Avansert klinisk allmennsykepleie	Gjøvik
TET4125	Avansert kraftelektronikk	Trondheim
IØ8807	Avansert kurs i likevektsmodellering og komplementaritet	Trondheim
IØ8813	Avansert kurs i økonomiske anvendelser av maskinlæring og kunstig intelligens	Trondheim
TS501218	Avansert logistikk innen maritim industri	Ålesund
MT8218	Avansert materialvitenskap	Trondheim
TTM4240	Avansert nettverkskontroll og administrasjon	Trondheim
IØ8404	Avansert optimering under usikkerhet	Trondheim
EP8199	Avansert optimialisering for ingeniøranvendelser	Trondheim
TMM4250	Avansert produktsimulering	Trondheim
TMM4280	Avansert produktutvikling	Trondheim
PROG2006	Avansert programmering	Gjøvik
EP8127	Avansert programmering for miljøsystemanalyser med Brightway	Trondheim
TDT4242	Avansert programvareutvikling	Trondheim
TTK4210	Avansert regulering av industrielle prosesser	Trondheim
PK8100	Avansert robotteknikk	Trondheim
DT8118	Avansert samhandlingsteknologi	Trondheim
MM8407	Avansert simuleringsmetoder i mange-partikkel-systemer	Trondheim
TM8105	Avansert simuleringsmetodikk	Trondheim
SOS3515	Avansert statistikk og metoder i samfunnsvitenskap	Trondheim
SOS8535	Avansert statistikk og metoder i samfunnsvitenskap	Trondheim
FY8503	Avansert teoretisk fysikk	Trondheim
BI3071	Avansert økotoksikologi	Trondheim
TFE4188	Avanserte Integrerte Kretser	Trondheim
KJ8107	Avanserte Organiske Optoelektroniske Materialer	Trondheim
IELET3109	Avanserte Sensorsystemer	Trondheim
VB8011	Avanserte byggematerialer og teknologi	Gjøvik
TDT4150	Avanserte databasesystemer	Trondheim
RAT3213	Avanserte ekkokardiografiske teknikker	Trondheim
MR8104	Avanserte emner i Maritim Logistikk og Flåteplanlegging(Kun eksamen, undervises ikke)	Trondheim
IT3025	Avanserte emner i programvareprosessforbedring	Trondheim
DT8807	Avanserte emner innen dyplæring med python	Ålesund
